title,classes,generated_text_1,generated_text_2
image_363.png,propaganda,a photography of a poster advertising a plant victory garden,a poster of a man and a woman working on a plant
image_110.png,propaganda,a photography of a map of the world with countries and their flags,a close up of a map of the world with countries
image_126.png,propaganda,a photography of a poster advertising a sale of warram,a close up of a poster advertising a concert
image_376.png,propaganda,a photography of a drawing of a ship in the water,a black and white drawing of a ship in the water
image_70.png,propaganda,a photography of a woman holding a flag and a green apple,an old poster of a woman holding a flag and a flag
image_34.png,propaganda,a photography of a menu for a french restaurant,a close up of a menu with a bunch of different words
image_76.png,propaganda,a photography of a poster advertising a liberty loan,poster of a man holding a baseball bat and a baseball bat
image_318.png,propaganda,a photography of a poster advertising a concert in paris,a poster advertising a concert in the french language
image_144.png,propaganda,"a photography of a sign that says,'better electric '",a close up of a sign on a wall with a black background
image_251.png,propaganda,a photography of a sign that says keep scrapping america red men rubber metals,a close up of a sign on a wall with a metal bar
image_259.png,propaganda,a photography of a poster with a picture of a man in a military uniform,a close up of a poster with a man in a military uniform
image_300.png,propaganda,a photography of a poster advertising a fight between two men,a close up of a poster on a wall with a man holding a sword
image_324.png,propaganda,a photography of a poster for a meeting in the french capital of paris,a poster for a meeting in the french capital of paris
image_399.png,propaganda,a photography of a poster with a red background and a black and white image of a man on,russian language book cover with a red background and black and white image
image_499.png,propaganda,a photography of a poster with a box of food on it,a poster with a box of food and a knife on it
image_63.png,propaganda,a photography of a poster advertising a political event,a poster advertising a meeting in the french language
image_111.png,propaganda,a photography of a painting of a group of people sitting around a table,painting of a group of people sitting around a table with a skull
image_89.png,propaganda,a photography of a poster advertising a meeting in the city,a black and white photo of a poster advertising a meeting
image_137.png,propaganda,a photography of a man in a helmet holding a coffee mug,a close up of a poster with a man in a helmet holding a cup
image_9.png,propaganda,a photography of a poster with a map of the world,a close up of a poster with a map of the world
image_487.png,propaganda,a photography of a sign that is on a wall,a close up of a sign on a wall with a flag
image_163.png,propaganda,a photography of a woman holding an american flag in her hand,a close up of a poster with a woman holding an american flag
image_326.png,propaganda,a photography of a poster of a soldier with a gun,a picture taken from a magazine with a picture of a soldier
image_375.png,propaganda,a photography of a drawing of a man standing under a tree,drawing of a man standing under a tree with a bird on it
image_433.png,propaganda,a photography of a person holding a stamp out in front of a poster,a close up of a person holding a stamp out on a poster
image_5.png,propaganda,a photography of a poster advertising a star - spanue game,a close up of a poster with a star on it
image_180.png,propaganda,a photography of a document with a red border on it,a close up of a document with a red border on it
image_142.png,propaganda,a photography of a penguin on a surfboard with a red scarf,penguin on a surfboard with a red scarf and a red scarf
image_372.png,propaganda,a photography of a poster advertising a business meeting,a close up of a poster on a wall with a black background
image_519.png,propaganda,a photography of a red cross poster with a nurse and a child,a poster with a red cross and a nurse in a hospital
image_393.png,propaganda,a photography of a poster of a woman's face with the words'debussante,a poster with a black and white image of a woman's face
image_191.png,propaganda,a photography of a poster advertising a conference in paris,a close up of a poster with a black border on it
image_278.png,propaganda,a photography of a painting of a nurse and a nurse in a hospital,a picture taken from a book of a nurse and a nurse in a hospital
image_265.png,propaganda,a photography of a poster with two flags and a dog,a close up of a poster with two flags on it
image_248.png,propaganda,a photography of a sign that says keep'em flying,keep'em flying - men's premium t - shirt
image_319.png,propaganda,a photography of a newspaper advertisement with a black and white image of a man,a black and white photo of a newspaper advertisement with a picture of a man
image_359.png,propaganda,a photography of a poster with a message stating that it is the time to visit france,a close up of a sign with a black background and a white background
image_3.png,propaganda,"a photography of a sign that reads,'f mai 1945 '",a close up of a sign on a wall with a black background
image_216.png,propaganda,a photography of a poster with a man and woman hugging,a poster of a man and woman hugging each other
image_470.png,propaganda,a photography of a poster of a soldier holding a flag,soldiers holding american flags in front of a us army poster
image_491.png,propaganda,a photography of a poster advertising a movie starring a man in a red jacket,a close up of a poster on a wall with a man in a hat and jacket
image_364.png,propaganda,a photography of a poster with a hand holding a piece of paper,a close up of a poster with a person holding a piece of paper
image_461.png,propaganda,a photography of a poster with a woman in a sailor's hat,a picture of a poster with a woman in a sailor's hat
image_20.png,propaganda,a photography of a menu for a restaurant with a picture of a menu,a close up of a menu on a red board with a black border
image_149.png,propaganda,a photography of a sign advertising a barber shop,a close up of a sign with a picture of a man on a motorcycle
image_436.png,propaganda,a photography of a woman sitting on a rock next to a river,a picture of a woman sitting on a rock next to a river
image_157.png,propaganda,a photography of a newspaper page with a bunch of pages,a newspaper page with a bunch of pages on it
image_267.png,propaganda,a photography of a poster with two flags and a soldier,a close up of two flags with a man in a military uniform
image_158.png,propaganda,a photography of a poster with a man on a horse,a close up of a poster with a man on a horse
image_77.png,propaganda,a photography of a woman in a red head scarf and a poster,arafed poster of a woman with a red head scarf
image_29.png,propaganda,a photography of a painting of a woman holding a red flag,painting of a woman flying a red flag with a bird in her hand
image_509.png,propaganda,a photography of a sign with a red cross on it,a close up of a sign with a red cross on it
image_233.png,propaganda,a photography of a poster with a child in a window,there is a red cross service sign on a wall
image_72.png,propaganda,a photography of a poster of a group of people in uniform,an old poster of a group of men in uniform
image_443.png,propaganda,a photography of a poster with a boat on it,a close up of a poster with a boat on it
image_456.png,propaganda,a photography of a poster with a question mark on it,they give their lives do you land your savings?
image_444.png,propaganda,a photography of a plaque with a picture of a group of soldiers,a close up of a sign with a cross and soldiers
image_95.png,propaganda,a photography of a poster advertising a war effort,a close up of a poster with a flag and a flag
image_129.png,propaganda,a photography of a poster advertising a concert in paris,a close up of a poster with a black frame on it
image_386.png,propaganda,a photography of a man in a military uniform holding a rifle,a close up of a poster of a man in uniform
image_398.png,propaganda,a photography of a bell with a red ring and a third liberty loan on it,a close up of a bell with a red circle on top
image_65.png,propaganda,a photography of a poster advertising the american poverty food,an old poster of a family with a dog and a man
image_179.png,propaganda,a photography of a poster advertising a fuel fight,a close up of a sign with a red background and a white background
image_358.png,propaganda,a photography of a document with a picture of a man in a suit,a black and white photo of a document with a picture of a man
image_36.png,propaganda,a photography of a poster with a purple ribbon on it,a close up of a poster with a ribbon on it
image_143.png,propaganda,a photography of a poster advertising a fish dinner,poster of a fish and vegetables on a table with a green background
image_114.png,propaganda,a photography of a poster with a caption of the french army,a black and white poster with a picture of a man in a suit
image_221.png,propaganda,a photography of a poster with a picture of a man in a top hat,a poster with a picture of a man in a top hat
image_169.png,propaganda,a photography of a sign that says food don't waste it,a close up of a sign with a picture of a person holding a knife
image_403.png,propaganda,a photography of a poster with a list of things to save,arafed poster with a list of the words save
image_132.png,propaganda,a photography of a poster with four pictures of people on a horse,a close up of a poster with four pictures of people on a horse
image_12.png,propaganda,a photography of a poster of a man on a horse,a picture of a poster with a man riding a horse
image_337.png,propaganda,a photography of a map of the northern life lines,map of northern life lines
image_145.png,propaganda,a photography of a map of the united states with a black background,a map of the united states with the names of the towns
image_73.png,propaganda,a photography of a poster advertising a baseball game,arafed picture of a poster with a man swinging a baseball bat
image_503.png,propaganda,a photography of a poster with a man in a helmet,a poster with a man in a hat and a gun
image_313.png,propaganda,a photography of a poster with a bunch of different things on it,a close up of a poster with a bunch of different things
image_434.png,propaganda,a photography of a magazine cover with a man on fire,a close up of a magazine cover with a man on a horse
image_450.png,propaganda,a photography of a red cross poster on a black background,a book cover of the roll call a message of the red cross
image_285.png,propaganda,a photography of a poster advertising a movie starring a cat,a close up of a poster with a dog on it
image_341.png,propaganda,a photography of a man in a suit and hat holding a tray,arafed image of a man in a hat and coat holding a tray
image_109.png,propaganda,a photography of a man in a suit and tie walking across a street,arafed image of a man in a suit and tie walking with a suitcase
image_342.png,propaganda,a photography of a sign that says order coal now keep warm next winter,a close up of a sign with a man in a suit
image_146.png,propaganda,a photography of a newspaper advertisement for a meeting,there are two old newspaper ads on a table
image_289.png,propaganda,a photography of a poster with a man on a bench,arafed poster of a man on a chair with a triangle
image_514.png,propaganda,a photography of a couple of people standing next to each other,a close up of a poster with a man and woman
image_492.png,propaganda,a photography of a poster with a person holding a key,a close up of a person holding a cross in their hand
image_217.png,propaganda,a photography of a poster advertising a winter sale,a poster with a train and a house on it
image_11.png,propaganda,a photography of a poster of a man holding a plate of food,a close up of a poster with a man holding a plate of food
image_42.png,propaganda,a photography of a map of the united states,a map of the united states with a green border
image_466.png,propaganda,a photography of a poster with a picture of a man on a boat,poster of a man holding a gun in front of a poster
image_125.png,propaganda,a photography of a poster advertising a meeting in a public place,a close up of a poster with a black frame on it
image_518.png,propaganda,a photography of a poster of a man with a bandage on his arm,a picture taken from a poster of a man with a bandage on his arm
image_512.png,propaganda,a photography of a poster advertising a farmer's harvest,a close up of a poster with a man pulling a wagon
image_397.png,propaganda,a photography of a poster advertising a liberty loan,a close up of a bell on a poster on a wall
image_173.png,propaganda,a photography of a poster with a woman and two children,a close up of a poster with a woman and two children
image_218.png,propaganda,a photography of a poster advertising a store with ratio tokens,a poster advertising a store with a lot of items for sale
image_325.png,propaganda,a photography of a poster with a man in a helmet and a dog,a poster of a man in a helmet and a helmet on
image_437.png,propaganda,a photography of a man in a suit sitting at a table,an old photo of a man sitting at a table with a book
image_354.png,propaganda,a photography of a newspaper advertisement for the parisien's,a close up of a newspaper advertisement with a black background
image_243.png,propaganda,a photography of a poster with two people holding hands,a close up of a poster with two people on a skateboard
image_460.png,propaganda,a photography of a poster of a man in a military uniform,a poster of a man in a military uniform with a hat on
image_78.png,propaganda,a photography of a poster with a red border and a blue border,a close up of a poster with a red and blue border
image_445.png,propaganda,a photography of a red cross poster with a woman reading,a book cover of the greatest wonder in the world
image_28.png,propaganda,a photography of a poster advertising a toilet paper roll,a close up of a poster with a child and a giant object
image_249.png,propaganda,a photography of a poster of a bald eagle perched on a tree branch,a close up of a poster with an eagle on it
image_304.png,propaganda,a photography of a newspaper advertisement for libberers don't live,a close up of a newspaper advertisement with a boat and a man
image_148.png,propaganda,a photography of a poster of a man with a hammer,a close up of a poster of a man with a hammer
image_272.png,propaganda,a photography of a poster advertising a movie about the battle of the alam frontier,a poster advertising a movie starring a movie about a man and a woman
image_102.png,propaganda,a photography of a sign advertising boys serve your country on the farms,a close up of a sign with a horse drawn carriage
image_150.png,propaganda,a photography of a poster with a red and black image of a man,a poster with a red and white image of a man in a suit
image_103.png,propaganda,a photography of a british flag is displayed on a poster,a close up of a poster on a wall with a british flag
image_238.png,propaganda,a photography of a poster advertising the military parade,a close up of a poster with a black and white image of a military plane
image_164.png,propaganda,a photography of a poster advertising a fire escape,a picture taken from a poster of a man holding a sign
image_495.png,propaganda,a photography of a poster with a picture of a man on a horse,a close up of a poster with a bunch of people riding on horses
image_303.png,propaganda,a photography of a poster with a child drinking a glass of water,a close up of a poster with a child on it
image_515.png,propaganda,a photography of a poster advertising a toilet and a woman,a poster advertising a woman holding a basket of food
image_107.png,propaganda,a photography of a poster advertising a naval aviation event,arafed picture of a poster of a man in a sailor's uniform
image_339.png,propaganda,a photography of a poster of a soldier raising the flag,a picture taken from a poster of a us army soldier raising the flag
image_427.png,propaganda,a photography of a poster with a picture of a man on a motorcycle,a close up of a poster on a wall with a person on it
image_90.png,propaganda,a photography of a document with a picture of a person in a suit,a close up of a document with a black border
image_485.png,propaganda,a photography of a poster advertising a conference in a french language,a black and white poster with a yellow background and a black and white image
image_128.png,propaganda,a photography of a sign that says conseres familiables centre de palaseau,a black and white photo of a sign that says conserves families
image_488.png,propaganda,a photography of a drawing of a man and a woman,a drawing of a man and woman standing next to each other
image_199.png,propaganda,a photography of a woman and child are cooking in a kitchen,a poster of a woman and child are cooking in a kitchen
image_353.png,propaganda,a photography of a sign that says paris on it,a close up of a sign with a picture of a person on it
image_151.png,propaganda,a photography of a painting of a man in a white robe,a painting of a man in a white robe standing next to a dog
image_498.png,propaganda,a photography of a sign warning of the fbi,a close up of a sign on a wall with a fire hydrant
image_67.png,propaganda,a photography of a poster of a man on a boat,a picture taken from a poster of a man on a boat
image_388.png,propaganda,a photography of a newspaper advertisement for points textiles,a close up of a newspaper with a bunch of information on it
image_373.png,propaganda,a photography of a poster with a man in a hat,a poster of a man in a hat and a hat on a wall
image_253.png,propaganda,a photography of a poster with a pair of red boots on it,a poster with a pair of red boots on it
image_282.png,propaganda,a photography of a picture of a poster with a variety of people,a close up of a poster with a bunch of pictures on it
image_333.png,propaganda,a photography of a newspaper with a picture of a man in a suit,a close up of a newspaper with a picture of a person on it
image_87.png,propaganda,a photography of a poster of a navy ship in the ocean,a close up of a poster with a plane on it
image_334.png,propaganda,a photography of a poster advertising naval service on the water,a close up of a poster with a ship on it
image_244.png,propaganda,a photography of a poster advertising a women's march,a close up of a poster with a red and blue design
image_402.png,propaganda,a photography of a man sitting on a bench next to a statue,arafed poster of a man sitting on a platform with a statue in the background
image_118.png,propaganda,a photography of a poster of a soldier with a gun,a close up of a poster with a soldier holding a gun
image_92.png,propaganda,a photography of a poster with a picture of a building,a poster advertising a museum in france with a picture of a building
image_211.png,propaganda,a photography of a woman holding a plate of food with a price tag,a picture of a woman holding a plate of food with a cup of coffee
image_383.png,propaganda,a photography of a poster advertising a movie starring a man in a helmet,a poster for a magazine with a man in a helmet
image_225.png,propaganda,a photography of a woman holding a camera in her hand,a close up of a poster with a woman holding a cell phone
image_241.png,propaganda,a photography of a woman in a knight costume holding a sword,a close up of a poster of a woman in a knight costume
image_156.png,propaganda,a photography of a poster with a red star and a white tower,a close up of a poster with a red background and a white tower
image_351.png,propaganda,a photography of a poster with a soldier holding an american flag,a poster of a soldier holding an american flag and a flag
image_136.png,propaganda,a photography of a poster with a picture of a man in a suit,a close up of a poster with a picture of a man in a suit
image_7.png,propaganda,a photography of a picture of a train on a train track,a close up of a picture of a train on a train track
image_53.png,propaganda,a photography of a poster advertising a movie with a bunch of red shoes,poster of a baseball game with a batter and catcher
image_413.png,propaganda,a photography of a newspaper advertisement for a film production,a black and white poster with a picture of a man in a suit
image_314.png,propaganda,a photography of a poster advertising a group of people,a poster for the workers don't live campaign
image_234.png,propaganda,a photography of a poster with a group of people in it,a poster with a group of people standing around it
image_266.png,propaganda,a photography of a picture of two flags and a picture of a soldier,a close up of two flags with a picture of a soldier and a flag
image_366.png,propaganda,a photography of a poster advertising a concert in the united states,a close up of a newspaper advertisement with a black background
image_419.png,propaganda,a photography of a poster with a picture of a man and a woman,a close up of a sign with a picture of a person on a motorcycle
image_223.png,propaganda,a photography of a woman holding a bouquet of flowers and a bag,arafed poster of a woman holding a bouquet of flowers
image_387.png,propaganda,a photography of a poster of a soldier and two children,a picture of a poster of a man holding a dog
image_292.png,propaganda,a photography of a poster advertising a train ride,there is a poster with a picture of a train on it
image_473.png,propaganda,a photography of a poster with a line of military ships,a close up of a poster with a ship and other items
image_426.png,propaganda,a photography of a ticket for a concert at the theatre,a close up of two tickets for a concert with a red and white design
image_213.png,propaganda,a photography of a picture of a house in the snow,a picture taken from a book of his home over there
image_6.png,propaganda,a photography of a poster with a man holding a trophy,a close up of a poster with a person holding a trophy
image_224.png,propaganda,a photography of a poster of a man with a hat and a cigarette,poster of uncle in top hat smoking a cigarette
image_91.png,propaganda,a photography of a drawing of a man in a long coat holding a sword,a drawing of a man in a long coat holding a sword
image_230.png,propaganda,a photography of a woman in a tie and a blue tie,a close up of a picture of a woman in a tie
image_194.png,propaganda,a photography of a menu for a french restaurant,a close up of a menu for a restaurant with a clock
image_321.png,propaganda,a photography of a sign advertising a political event,a close up of a sign with a picture of a man on it
image_310.png,propaganda,a photography of a poster with a bunch of people on it,a poster with a bunch of different pictures of people on it
image_247.png,propaganda,a photography of a pepsi logo with a blurry background,a close up of a sign with a red and blue stripe
image_384.png,propaganda,a photography of a newspaper advertisement with a picture of a man,a close up of a newspaper advertisement with a picture of a man
image_343.png,propaganda,a photography of a drawing of a man sitting in a chair,drawing of a skeleton sitting in a chair with a cat
image_174.png,propaganda,a photography of a poster with a man holding a glass of water,a poster with a man holding a glass of water in his hand
image_330.png,propaganda,a photography of a poster advertising liberty bonds,a close up of a poster with a man holding a gun
image_467.png,propaganda,a photography of a poster advertising a repair shop,a close up of a poster with a man in a hat
image_277.png,propaganda,a photography of a poster advertising a chocolate shop,a black and white poster with a picture of a man in a suit
image_449.png,propaganda,a photography of a poster of a man with a pipe,a close up of a poster with a picture of a man
image_338.png,propaganda,a photography of a poster for a movie with a picture of a man holding a sword,a close up of a sign with a picture of a man holding a sword
image_381.png,propaganda,a photography of a sign that says please please for the sale of the antipassye et,a close up of a sign on a wall with a clock
image_483.png,propaganda,a photography of a poster for a political campaign,a poster for a political campaign with a man and woman fighting
image_484.png,propaganda,a photography of a sign that says united methodist world,a close up of a sign with a picture of a man in a hat
image_140.png,propaganda,a photography of a poster advertising war bonds,a poster of a family of children standing in a field
image_469.png,propaganda,a photography of a poster with a soldier holding a rifle,a poster with a man holding a rifle and a dog
image_4.png,propaganda,a photography of a poster with a red writing on it,a close up of a sign with a red writing on it
image_502.png,propaganda,a photography of a poster with a picture of a man in a bed,arafed image of a poster with a man in a bed and a woman in a gown
image_219.png,propaganda,a photography of a poster with a woman and a child,a picture of a poster with a woman and a child
image_439.png,propaganda,a photography of a man and woman in a hat and dress,a picture of a poster of a man and woman in a hat
image_462.png,propaganda,a photography of a poster with a man in a military uniform playing a trumpet,a poster with a man in uniform playing a trumpet
image_56.png,propaganda,a photography of a cross with a quote on it,a picture taken from a window of a church with a cross on it
image_408.png,propaganda,a photography of a poster of a man and a woman sitting at a table,arafed picture of a poster with a man and children sitting at a table
image_368.png,propaganda,a photography of a poster advertising a motor vehicle,a poster advertising a motor vehicle driving down a road
image_195.png,propaganda,a photography of a poster advertising a band ball in the city,a poster advertising a band ball in the city
image_486.png,propaganda,a photography of a poster advertising a woman and a man on a skateboard,arafed poster of a man and woman on a skateboard
image_183.png,propaganda,a photography of a poster for a book with a woman holding a knife,a poster for a book with a woman holding a knife
image_459.png,propaganda,a photography of a picture of a thanksgiving menu with a picture of a pumpkin,a close up of a poster with a bunch of fruits and vegetables
image_271.png,propaganda,a photography of a poster with a group of people on it,a poster with a picture of a group of people on it
image_131.png,propaganda,a photography of a woman preparing food on a table in front of a sign,a close up of a sign on a wall with a woman cooking
image_84.png,propaganda,a photography of a poster with a red cross on it,a close up of a poster with a red cross on it
image_177.png,propaganda,a photography of a newspaper advertisement with a picture of a man in a suit,a close up of a newspaper with a picture of a person on a plane
image_154.png,propaganda,a photography of a poster of a woman holding a heart,a book cover of exposition de l'empire des france
image_71.png,propaganda,a photography of a poster of a man and woman hugging,an old poster of a man and woman hugging each other
image_367.png,propaganda,a photography of a painting of a woman and two men in a field,a painting of a group of people in a field with a dog
image_297.png,propaganda,a photography of a poster with a picture of a man on a horse,a close up of a poster with a man on a horse
image_516.png,propaganda,a photography of a poster of a lady liberty holding a bunch of celery,a picture of a poster with a statue of liberty holding a plant
image_500.png,propaganda,a photography of a picture of a picture of a flag,a close up of a picture of a flag on a card
image_455.png,propaganda,a photography of a poster with a statue of liberty holding a shield,they fight for you protect them poster
image_312.png,propaganda,a photography of a poster with a cartoon of a man on a motorcycle,a close up of a poster with a person on a motorcycle
image_472.png,propaganda,a photography of a newspaper advertisement for a woman's toilet,a close up of a newspaper with a drawing of a man
image_168.png,propaganda,a photography of a poster advertising a food mill,a poster advertising a man and woman in a field
image_517.png,propaganda,a photography of a poster of a man holding a cigarette,a poster of a man holding a cigarette in his hand
image_55.png,propaganda,a photography of a poster with a person holding a pair of shoes,a close up of a poster with a person holding a dog
image_227.png,propaganda,a photography of a sign with a red cross on it,a close up of a sign with a red cross on it
image_197.png,propaganda,a photography of a poster with a bull in the middle of it,a close up of a poster with a cow on a fire
image_192.png,propaganda,a photography of a poster advertising a plane in flight,a close up of a newspaper with a picture of a plane
image_374.png,propaganda,"a photography of a poster with a red, white and blue border","a close up of a poster with a red, white and blue border"
image_311.png,propaganda,a photography of a poster with a bunch of different things on it,a close up of a poster with a bunch of different things
image_220.png,propaganda,a photography of a poster of a soldier with a gun,a poster of a soldier with a gun in his hand
image_328.png,propaganda,a photography of a group of people standing around each other,a drawing of a group of people standing around each other
image_281.png,propaganda,a photography of a poster advertising a political rally,a close up of a poster with a red and white design
image_361.png,propaganda,a photography of a woman in a military uniform holding a bird,a black and white photo of a woman holding a bird
image_457.png,propaganda,a photography of a poster advertising a loan for a boat,arafed poster of a boat in the water with a large ship in the background
image_66.png,propaganda,a photography of a poster with a wrench and a hand holding a wrench,a close up of a poster with a wrench and a hand
image_415.png,propaganda,a photography of a poster of a man with a gun,a picture of a poster of a man with a gun
image_75.png,propaganda,a photography of a poster of a man in a military uniform,a close up of a poster with a man in uniform
image_228.png,propaganda,a photography of a poster with a man in a suit and tie,a close up of a poster with a man in a suit
image_284.png,propaganda,a photography of a poster advertising a concert in paris,a close up of a poster with a bunch of words on it
image_423.png,propaganda,a photography of a computer screen with a bunch of diagrams,a close up of a computer screen with a bunch of diagrams
image_405.png,propaganda,a photography of a poster of a man in a suit and tie,a book cover of a man standing in front of a crowd
image_170.png,propaganda,a photography of a woman in a green dress holding a plane,arafed picture of a woman in a green dress holding a plane
image_350.png,propaganda,a photography of a poster of a man holding a woman,a close up of a poster with a man holding a baseball bat
image_100.png,propaganda,a photography of a sign that reads books for soldiers and sailors,a book cover with a picture of a man in a hat
image_522.png,propaganda,a photography of a man saluting for the military service,a close up of a poster with a man saluting
image_428.png,propaganda,a photography of a poster advertising a concert in the early 1900's,a close up of a poster advertising a concert
image_476.png,propaganda,a photography of a poster with a bird flying in the air,a close up of a poster with a bird flying in the air
image_41.png,propaganda,a photography of a poster with a plane flying over a building,a close up of a poster with a plane flying in the sky
image_0.png,propaganda,a photography of a black and white photo of a cat,an old photo of a cat with a bird on its head
image_15.png,propaganda,a photography of a poster of a man holding a baseball bat,a picture of a poster with a man holding a baseball bat
image_454.png,propaganda,a photography of a poster with a quote on it,a painting of a poster with a quote on it
image_201.png,propaganda,a photography of a poster advertising a french company,a poster advertising a business meeting in paris
image_410.png,propaganda,a photography of two fish swimming in a pond with the words save the product of the land,a picture of a book cover with two fish swimming in the water
image_348.png,propaganda,a photography of a poster of a family sitting at a table,arafed picture of a poster of a family eating a meal
image_306.png,propaganda,a photography of a poster with a man and a woman on a boat,a poster for a movie with a man and a woman on a boat
image_159.png,propaganda,a photography of a poster advertising a women's day event,a close up of a sign with a picture of a woman
image_451.png,propaganda,a photography of a us army seal on a wall,a close up of a sign with a picture of a military seal
image_273.png,propaganda,a photography of a poster advertising a sale of a baseball game,a close up of a sign on a wall with a black background
image_446.png,propaganda,a photography of a red cross sign with a woman sitting on a bench,an image of a red cross sign with a woman sitting on a bench
image_396.png,propaganda,a photography of a bell with the words second liberty loan in it,"a poster for the liberty loan, featuring a bell and a blue background"
image_212.png,propaganda,a photography of a poster with a man holding a gun,they follow the most soldiers in the world who know what we want it
image_257.png,propaganda,a photography of a man in a hat and a hat is pulling a boat,arafed picture of a man in a hat and a hat on a boat
image_178.png,propaganda,a photography of a painting of a man on a motorcycle,painting of a man with a guitar and a guitar in front of a painting
image_336.png,propaganda,a photography of a cat with a yellow umbrella in its mouth,a picture of a picture of a cat with a yellow umbrella
image_352.png,propaganda,a photography of a poster advertising a paris tour maker,a close up of a poster with a black and white image
image_135.png,propaganda,a photography of a newspaper advertisement for a virt girl cross humanite,a close up of a newspaper advertisement with a picture of a man
image_418.png,propaganda,a photography of a poster of a navy ship in the water,a painting of a ship in the water with a sky background
image_68.png,propaganda,a photography of a sign with a red cross on it,a close up of a sign with a red cross on it
image_497.png,propaganda,a photography of a poster with a man holding a sign,poster of a man in red jumps holding a sign that says we support war less for all
image_185.png,propaganda,a photography of a poster advertising a gas station,a close up of a poster with a red arrow pointing to a plane
image_347.png,propaganda,a photography of a man is standing over a bed with a woman,arafed image of a man in a white apron and a man in a blue apron
image_494.png,propaganda,a photography of a poster advertising a concert in paris,a poster advertising a concert for the kremese monstre
image_240.png,propaganda,a photography of a poster advertising a concert in paris,a close up of a poster with a picture of a man on a horse
image_190.png,propaganda,a photography of a poster advertising a dance in the french language,a close up of a poster with a woman holding a sword
image_407.png,propaganda,a photography of a woman in a hat and a man in a suit,a close up of a poster with a woman and a child
image_155.png,propaganda,a photography of a poster of a man on a ladder,a picture of a poster with a man on a ladder
image_481.png,propaganda,a photography of a poster advertising a union movement in the united states,a black and white poster with a description of the union movement
image_332.png,propaganda,a photography of a poster with a picture of a soldier,a poster for a military event with a soldier on it
image_414.png,propaganda,a photography of a poster of a man holding a gun,a poster of a man holding a gun in his hand
image_222.png,propaganda,a photography of a poster with a man in a suit and tie,a close up of a poster with a man in a suit and tie
image_134.png,propaganda,a photography of a poster with a bunch of faces on it,a picture of a poster with a bunch of faces on it
image_113.png,propaganda,a photography of a poster advertising a movie starring a man,a close up of a sign with a picture of a man on it
image_198.png,propaganda,a photography of a book cover of a couple of men shaking hands,a book cover of a couple of men shaking hands
image_171.png,propaganda,a photography of a poster advertising a gas station,a picture of a poster with a giant sign that says save waste fats
